filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-08_ses-noHC_T1w.nii.gz	1800-01-01T10:11:15.102500	n/a	b57918c5	1	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-AP_epi.nii.gz	1800-01-01T10:17:02.100000	n/a	420c0a25	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MESE_dir-PA_epi.nii.gz	1800-01-01T10:18:31.247500	n/a	c8a447ac	3	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-1_sbref.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-2_sbref.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-3_sbref.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-4_sbref.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-5_sbref.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_epi.nii.gz	1800-01-01T10:19:47.332500	n/a	cec35b40	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-1_epi.nii.gz	1800-01-01T10:20:01.420000	n/a	c112d6a6	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-2_epi.nii.gz	1800-01-01T10:20:01.420000	n/a	c112d6a6	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-3_epi.nii.gz	1800-01-01T10:20:01.420000	n/a	c112d6a6	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-4_epi.nii.gz	1800-01-01T10:20:01.420000	n/a	c112d6a6	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-PA_echo-5_epi.nii.gz	1800-01-01T10:20:01.420000	n/a	c112d6a6	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-1_sbref.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-2_sbref.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-3_sbref.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-4_sbref.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-5_sbref.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_epi.nii.gz	1800-01-01T10:20:43.360000	n/a	cb2507ef	1	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-1_epi.nii.gz	1800-01-01T10:20:57.447500	n/a	004c118d	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-2_epi.nii.gz	1800-01-01T10:20:57.447500	n/a	004c118d	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-3_epi.nii.gz	1800-01-01T10:20:57.447500	n/a	004c118d	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-4_epi.nii.gz	1800-01-01T10:20:57.447500	n/a	004c118d	4	n/a
fmap/sub-08_ses-noHC_acq-MEGE_dir-AP_echo-5_epi.nii.gz	1800-01-01T10:20:57.447500	n/a	004c118d	4	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-mag_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-phase_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-mag_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-phase_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-mag_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-phase_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-mag_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-phase_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-mag_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-phase_sbref.nii.gz	1800-01-01T10:22:27.945000	n/a	bfbf6ff5	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-mag_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-mag_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-phase_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-1_part-phase_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-mag_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-mag_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-phase_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-2_part-phase_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-mag_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-mag_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-phase_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-3_part-phase_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-mag_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-mag_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-phase_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-4_part-phase_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-mag_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-mag_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	d778851b	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-phase_bold.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	201	1
func/sub-08_ses-noHC_task-rest_acq-MBME_run-01_echo-5_part-phase_noRF.nii.gz	1800-01-01T10:22:42.032500	n/a	fccb7bf7	3	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-02_echo-1_part-mag_sbref.nii.gz	1800-01-01T10:29:16.495000	n/a	2514d1d8	1	n/a
func/sub-08_ses-noHC_task-rest_acq-MBME_run-02_echo-1_part-phase_sbref.nii.gz	1800-01-01T10:29:16.495000	n/a	2514d1d8	1	n/a
