filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-05_ses-2_T1w.nii.gz	1800-01-03T11:06:36.135000	n/a	0da27874	1	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-AP_epi.nii.gz	1800-01-03T11:12:21.747500	n/a	28c668aa	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
fmap/sub-05_ses-2_acq-MESE_dir-PA_epi.nii.gz	1800-01-03T11:13:49.785000	n/a	3b2d2f5a	3	n/a
