filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-02_ses-1_T1w.nii.gz	1800-01-01T10:25:14.835000	n/a	375d23ef	1	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-AP_epi.nii.gz	1800-01-01T10:31:06.980000	n/a	fd7accc2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MESE_dir-PA_epi.nii.gz	1800-01-01T10:32:34.195000	n/a	ba7abed2	3	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-1_sbref.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-2_sbref.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-3_sbref.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-4_sbref.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-5_sbref.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_epi.nii.gz	1800-01-01T10:33:50.347500	n/a	87bb1351	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-1_epi.nii.gz	1800-01-01T10:34:04.435000	n/a	08089a28	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-2_epi.nii.gz	1800-01-01T10:34:04.435000	n/a	08089a28	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-3_epi.nii.gz	1800-01-01T10:34:04.435000	n/a	08089a28	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-4_epi.nii.gz	1800-01-01T10:34:04.435000	n/a	08089a28	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-PA_echo-5_epi.nii.gz	1800-01-01T10:34:04.435000	n/a	08089a28	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-1_sbref.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-2_sbref.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-3_sbref.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-4_sbref.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-5_sbref.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_epi.nii.gz	1800-01-01T10:34:45.397500	n/a	e8b351b5	1	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-1_epi.nii.gz	1800-01-01T10:34:59.487500	n/a	83ba8dce	4	n/a
fmap/sub-02_ses-1_acq-MEGE_dir-AP_echo-2_epi.nii.gz	1800-01-01T10:34:59.487500	n/a	83ba8dce	4	n/a
