filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-03_ses-2_T1w.nii.gz	1800-01-01T14:20:06.090000	n/a	1f356bb0	1	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-AP_epi.nii.gz	1800-01-01T14:25:52.390000	n/a	bd3667fe	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MESE_dir-PA_epi.nii.gz	1800-01-01T14:27:23.545000	n/a	03f3542e	3	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-1_sbref.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-2_sbref.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-3_sbref.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-4_sbref.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-5_sbref.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_epi.nii.gz	1800-01-01T14:28:39.372500	n/a	287d6a8b	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-1_epi.nii.gz	1800-01-01T14:28:53.460000	n/a	bbd411d6	4	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-2_epi.nii.gz	1800-01-01T14:28:53.460000	n/a	bbd411d6	4	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-3_epi.nii.gz	1800-01-01T14:28:53.460000	n/a	bbd411d6	4	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-4_epi.nii.gz	1800-01-01T14:28:53.460000	n/a	bbd411d6	4	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-PA_echo-5_epi.nii.gz	1800-01-01T14:28:53.460000	n/a	bbd411d6	4	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-AP_echo-1_sbref.nii.gz	1800-01-01T14:29:34.400000	n/a	94770e7e	1	n/a
fmap/sub-03_ses-2_acq-MEGE_dir-AP_echo-2_sbref.nii.gz	1800-01-01T14:29:34.400000	n/a	94770e7e	1	n/a
