filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-03_ses-1_T1w.nii.gz	1800-01-01T13:04:41.847500	n/a	3cf5f3dd	1	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-AP_epi.nii.gz	1800-01-01T13:10:35.195000	n/a	cda34e4d	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MESE_dir-PA_epi.nii.gz	1800-01-01T13:12:04.110000	n/a	abaea038	3	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_echo-1_sbref.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_echo-2_sbref.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_echo-3_sbref.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_echo-4_sbref.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_echo-5_sbref.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
fmap/sub-03_ses-1_acq-MEGE_dir-PA_epi.nii.gz	1800-01-01T13:13:19.375000	n/a	b27562d1	1	n/a
