filename	acq_time	operator	randstr	n_volumes	has_norf
anat/sub-01_ses-1_T1w.nii.gz	1800-01-01T16:10:42.105000	n/a	834ac049	1	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_echo-1_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_echo-2_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_echo-3_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_echo-4_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_echo-5_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-AP_epi.nii.gz	1800-01-01T16:16:38.850000	n/a	e2b291a8	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_echo-1_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_echo-2_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_echo-3_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_echo-4_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_echo-5_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MESE_dir-PA_epi.nii.gz	1800-01-01T16:18:05.967500	n/a	98a2f2ec	3	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-1_sbref.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-2_sbref.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-3_sbref.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-4_sbref.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-5_sbref.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_epi.nii.gz	1800-01-01T16:19:22.417500	n/a	7d3f5eaf	1	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-1_epi.nii.gz	1800-01-01T16:19:36.507500	n/a	bed8d491	4	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-2_epi.nii.gz	1800-01-01T16:19:36.507500	n/a	bed8d491	4	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-3_epi.nii.gz	1800-01-01T16:19:36.507500	n/a	bed8d491	4	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-4_epi.nii.gz	1800-01-01T16:19:36.507500	n/a	bed8d491	4	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-PA_echo-5_epi.nii.gz	1800-01-01T16:19:36.507500	n/a	bed8d491	4	n/a
fmap/sub-01_ses-1_acq-MEGE_dir-AP_echo-1_sbref.nii.gz	1800-01-01T16:20:18.412500	n/a	bf582c92	1	n/a
